Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
341,WISE 2327,70.8,,,2010,Sculptor
342,WISE 2335,90.3,,,2010,Andromeda
343,WISE 2340,37.8,,,2010,Aquarius
344,WISE 2342,51.2,,,2010,Pegasus
345,WISE 2343,48.6,,,2010,Octans
346,WISE 2344,46,,,2010,Pegasus
347,WISE 2348,54.1,,,2010,Aquarius
348,WISE 2357,54.8,,,2010,Pegasus
349,WISE 2359,42.7,,,2010,Tucana
350,WISEA 1101,111,,,2017,Ursa Major
351,2,120,40 + 39 + ?,,2002,Libra
